#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JFDO01000017.1_69    -            317 1679at2085           -            265   3.4e-81  268.1  13.8   1   1   3.9e-83   4.2e-81  267.8  13.8     3   260     3   277     1   287 0.88 # 84564 # 85514 # -1 # ID=17_69;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.240
JFDO01000035.1_12    -            365 1679at2085           -            265   4.2e-07   25.2   0.1   2   3       1.1   1.3e+02   -2.6   0.1   220   264   118   162    95   163 0.58 # 13111 # 14205 # -1 # ID=35_12;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.273
JFDO01000035.1_12    -            365 1679at2085           -            265   4.2e-07   25.2   0.1   3   3     0.019       2.1    3.2   0.8    48   111   195   253   187   270 0.71 # 13111 # 14205 # -1 # ID=35_12;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.273
JFDO01000017.1_60    -            434 1679at2085           -            265   2.2e-05   19.6   0.1   1   2     2e-07   2.2e-05   19.6   0.1   124   174   164   218   151   228 0.80 # 73861 # 75162 # -1 # ID=17_60;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.262
JFDO01000017.1_60    -            434 1679at2085           -            265   2.2e-05   19.6   0.1   2   2     0.073         8    1.3   5.4    50   108   274   336   263   354 0.74 # 73861 # 75162 # -1 # ID=17_60;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.262
JFDO01000016.1_40    -            368 1679at2085           -            265   0.00016   16.7  15.9   1   3   1.5e-06   0.00016   16.7  15.9    14   144    55   181    50   218 0.77 # 40675 # 41778 # -1 # ID=16_40;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.195
JFDO01000016.1_40    -            368 1679at2085           -            265   0.00016   16.7  15.9   2   3      0.34        37   -0.9   0.1    78   105   204   231   186   257 0.66 # 40675 # 41778 # -1 # ID=16_40;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.195
JFDO01000016.1_40    -            368 1679at2085           -            265   0.00016   16.7  15.9   3   3      0.21        23   -0.2   0.5   178   233   265   317   243   332 0.74 # 40675 # 41778 # -1 # ID=16_40;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.195
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_14232/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_14232/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_14232/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Mon Aug  1 00:26:19 2022
# [ok]
