#                                                                                                                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                                                                                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                                                                                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_3_10  -            601 501at2085            -            526  6.5e-245  809.4  12.9   1   1    6e-247  8.5e-245  809.0  12.9     1   525     1   598     1   599 0.92 # 14638 # 16440 # 1 # ID=3_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.269
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_8_33  -            436 501at2085            -            526     2e-08   29.0  13.3   1   2   3.6e-06   0.00051   14.5   1.6    66   175    50   168     2   171 0.82 # 27691 # 28998 # -1 # ID=8_33;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.226
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_8_33  -            436 501at2085            -            526     2e-08   29.0  13.3   2   2   1.1e-07   1.5e-05   19.5   4.4    45   167   200   343   177   365 0.73 # 27691 # 28998 # -1 # ID=8_33;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.226
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_PPCC_MCI/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_PPCC_MCI/run_mycoplasmatales_odb10/hmmer_output/501at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_PPCC_MCI/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Mon Aug  1 00:28:06 2022
# [ok]
